id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
4258, 46    UMa,UMa,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.935, 33.50694444)>",191.47,64.32,"<SkyCoord (Galactic): (l, b) in deg
    (191.47, 64.32)>",5.03, , ,K,K1III, ,0.55, ,1.1, ,1.0, ,-22.0,19.0,, ,-2.9414033883860435,1.1225957748827526,163.93499999999997,33.50694444444444
4259, 54    Leo,Leo,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.90333333, 24.74972222)>",211.59,63.91,"<SkyCoord (Galactic): (l, b) in deg
    (211.59, 63.91)>",4.5, , ,A,A1V, ,-0.01, ,0.01, ,0.02, ,5.0,182.0,0.015,D,-2.5902431428847845,1.115439924949576,163.9033333333333,24.749722222222225
4260, 54    Leo,Leo,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.90541667, 24.74888889)>",211.6,63.91,"<SkyCoord (Galactic): (l, b) in deg
    (211.6, 63.91)>",6.3,H, ,A,A2Vn, ,, ,, ,, ,-1.0,233.0,0.015,D,-2.590068609959585,1.115439924949576,163.90541666666664,24.74888888888889
4261,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.79833333, -20.665)>",269.45,34.54,"<SkyCoord (Galactic): (l, b) in deg
    (269.45, 34.54)>",6.44, , ,K,K0, ,, ,1.1, ,, ,-12.0,,, ,-1.5803956376808657,0.6028367236388414,163.7983333333333,-20.665
4262,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.425, -70.72027778)>",293.45,-10.05,"<SkyCoord (Galactic): (l, b) in deg
    (293.45, -10.05)>",5.99, , ,B,B6V,e,, ,-0.02, ,-0.46, ,6.0,,0.004,D,-1.1615166172022264,-0.17540558982543014,163.42499999999998,-70.72027777777778
4263,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.75416667, -42.25111111)>",280.98,15.6,"<SkyCoord (Galactic): (l, b) in deg
    (280.98, 15.6)>",6.11, , ,A,A0pSiCr, ,, ,-0.08, ,-0.25, ,22.0,,, ,-1.3791591749259189,0.2722713633111154,163.75416666666663,-42.25111111111111
4264,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (164.06041667, 42.00833333)>",173.09,62.21,"<SkyCoord (Galactic): (l, b) in deg
    (173.09, 62.21)>",6.03, , ,K,K2III, ,0.42,E,1.13, ,1.08, ,-54.0,,0.027, ,3.020990402276985,1.0857693276656724,164.06041666666664,42.00833333333333
4265, 55    Leo,Leo,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.92666667, 0.73694444)>",251.63,51.69,"<SkyCoord (Galactic): (l, b) in deg
    (251.63, 51.69)>",5.91, , ,F,F2/3III/V, ,, ,0.42, ,-0.02, ,-2.0,,0.014, ,-1.891413310386255,0.9021606903558689,163.92666666666665,0.7369444444444444
4266,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.62333333, -61.82666667)>",289.59,-2.02,"<SkyCoord (Galactic): (l, b) in deg
    (289.59, -2.02)>",5.93, , ,K,K4III, ,, ,1.75, ,1.97, ,-3.0,,, ,-1.2288863263292078,-0.035255650890285456,163.62333333333333,-61.82666666666667
4267, 56    Leo,Leo,"<SkyCoord (ICRS): (ra, dec) in deg
    (164.00625, 6.18527778)>",245.05,55.5,"<SkyCoord (Galactic): (l, b) in deg
    (245.05, 55.5)>",5.81, , ,M,M5.5III,v,2.09, ,1.45, ,1.0, ,-13.0,,-0.003, ,-2.0062559751674818,0.9686577348568529,164.00624999999997,6.185277777777778
4268,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.11458333, -79.55944444)>",297.51,-17.96,"<SkyCoord (Galactic): (l, b) in deg
    (297.51, -17.96)>",6.33, , ,K,K2II-III, ,, ,1.46, ,1.57, ,3.0,,, ,-1.0906562495712566,-0.3134611336581816,163.11458333333334,-79.55944444444444
4269,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (164.07041667, 22.35166667)>",216.93,63.48,"<SkyCoord (Galactic): (l, b) in deg
    (216.93, 63.48)>",6.14, , ,K,K2, ,, ,1.55, ,1.94, ,25.0,,, ,-2.4970425608282873,1.1079350091660003,164.07041666666666,22.351666666666667
4270, 50    LMi,LMi,"<SkyCoord (ICRS): (ra, dec) in deg
    (164.14333333, 25.5)>",210.0,64.26,"<SkyCoord (Galactic): (l, b) in deg
    (210., 64.26)>",6.35, , ,K,K0, ,, ,1.03, ,0.89, ,30.0,,, ,-2.6179938779914944,1.1215485773315563,164.14333333333332,25.5
4271,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (163.82166667, -60.51694444)>",289.11,-0.8,"<SkyCoord (Galactic): (l, b) in deg
    (289.11, -0.8)>",5.92, , ,K,K0III, ,, ,1.08, ,0.88, ,-26.0,,, ,-1.23726390673878,-0.013962634015954637,163.82166666666663,-60.51694444444444
